年份,縣市別,社會人口淨增加數,控制國外遷移之社會人口增加數
101.0,新 北 市,2287,-6860
101.0,臺 北 市,9339,44698
101.0,臺 中 市,7192,8456
101.0,臺 南 市,804,2141
101.0,高 雄 市,-1829,-1410
101.0,臺 灣 省,-11570,19523
101.0,宜 蘭 縣,-920,1746
101.0,桃 園 縣,7967,18334
101.0,新 竹 縣,3538,4436
101.0,苗 栗 縣,291,1508
101.0,彰 化 縣,-7459,-5580
101.0,南 投 縣,-2125,-1424
101.0,雲 林 縣,-2052,901
101.0,嘉 義 縣,-3021,-1496
101.0,屏 東 縣,-4646,-3714
101.0,臺 東 縣,-1471,-297
101.0,花 蓮 縣,-1263,420
101.0,澎 湖 縣,1536,1853
101.0,基 隆 市,-2492,1316
101.0,新 竹 市,1225,1699
101.0,嘉 義 市,-678,-179
101.0,福 建 省,9457,10243
101.0,金 門 縣,8368,8978
101.0,連 江 縣,1089,1265
102.0,新 北 市,455,-8044
102.0,臺 北 市,2959,37890
102.0,臺 中 市,7351,8502
102.0,臺 南 市,796,1960
102.0,高 雄 市,-1131,-674
102.0,臺 灣 省,-3533,25708
102.0,宜 蘭 縣,-103,2337
102.0,桃 園 縣,8077,18515
102.0,新 竹 縣,4575,5332
102.0,苗 栗 縣,755,1806
102.0,彰 化 縣,-6148,-4486
102.0,南 投 縣,-1838,-1110
102.0,雲 林 縣,-1500,1065
102.0,嘉 義 縣,-2497,-1119
102.0,屏 東 縣,-3600,-2785
102.0,臺 東 縣,-731,205
102.0,花 蓮 縣,-726,894
102.0,澎 湖 縣,1476,1805
102.0,基 隆 市,-1574,2046
102.0,新 竹 市,778,1275
102.0,嘉 義 市,-477,-72
102.0,福 建 省,7593,8421
102.0,金 門 縣,6828,7528
102.0,連 江 縣,765,893
103.0,新 北 市,-9560,-26522
103.0,臺 北 市,7904,74488
103.0,臺 中 市,15896,18316
103.0,臺 南 市,80,1564
103.0,高 雄 市,-6246,-5306
103.0,臺 灣 省,6728,61410
103.0,宜 蘭 縣,1138,5660
103.0,桃 園 縣,17598,36378
103.0,新 竹 縣,10056,11578
103.0,苗 栗 縣,786,3092
103.0,彰 化 縣,-13616,-10486
103.0,南 投 縣,-3440,-2118
103.0,雲 林 縣,-1318,4030
103.0,嘉 義 縣,-3640,-1136
103.0,屏 東 縣,-3286,-1880
103.0,臺 東 縣,822,2644
103.0,花 蓮 縣,356,3332
103.0,澎 湖 縣,2652,3334
103.0,基 隆 市,-2064,4602
103.0,新 竹 市,1086,1970
103.0,嘉 義 市,-402,410
103.0,福 建 省,12762,14526
103.0,金 門 縣,12300,13722
103.0,連 江 縣,462,804
103.0,說明：桃園縣於103年12月25日改制為直轄市，惟為利於統計加總，本表行政區域及遷入、遷出資料仍依改制前直轄市、縣（市）列表及統計。,24,113
104.0,新 北 市,-20624,-15958
104.0,臺 北 市,-18772,-13870
104.0,桃 園 市,73336,75112
104.0,臺 中 市,28734,29704
104.0,臺 南 市,-362,418
104.0,高 雄 市,-4070,-2428
104.0,臺 灣 省,-49800,-46542
104.0,宜 蘭 縣,-728,-480
104.0,新 竹 縣,4694,4962
104.0,苗 栗 縣,-8458,-8174
104.0,彰 化 縣,-11354,-11126
104.0,南 投 縣,-7232,-6892
104.0,雲 林 縣,-7686,-7426
104.0,嘉 義 縣,-5150,-4974
104.0,屏 東 縣,-7632,-7240
104.0,臺 東 縣,-2404,-2370
104.0,花 蓮 縣,-1728,-1546
104.0,澎 湖 縣,1146,1130
104.0,基 隆 市,-1164,-982
104.0,新 竹 市,-670,-118
104.0,嘉 義 市,-1434,-1306
104.0,福 建 省,8720,8764
104.0,金 門 縣,8860,8870
104.0,連 江 縣,-140,-106
105.0,新 北 市,-2511,-883
105.0,臺 北 市,-19116,-16529
105.0,桃 園 市,30834,31254
105.0,臺 中 市,14060,14349
105.0,臺 南 市,1028,1256
105.0,高 雄 市,61,537
105.0,臺 灣 省,-14291,-13273
105.0,宜 蘭 縣,-317,-241
105.0,新 竹 縣,3680,3834
105.0,苗 栗 縣,-4390,-4287
105.0,彰 化 縣,-5349,-5148
105.0,南 投 縣,-3006,-2939
105.0,雲 林 縣,-2302,-2225
105.0,嘉 義 縣,-1708,-1652
105.0,屏 東 縣,-2046,-1973
105.0,臺 東 縣,-623,-601
105.0,花 蓮 縣,-303,-240
105.0,澎 湖 縣,929,936
105.0,基 隆 市,387,433
105.0,新 竹 市,1395,1480
105.0,嘉 義 市,-638,-650
105.0,福 建 省,1642,1671
105.0,金 門 縣,1703,1721
105.0,連 江 縣,-61,-50
106.0,新 北 市,-605,1092
106.0,臺 北 市,-20022,-17546
106.0,桃 園 市,29518,30270
106.0,臺 中 市,12397,12940
106.0,臺 南 市,1712,1914
106.0,高 雄 市,-1351,-643
106.0,臺 灣 省,-14879,-13792
106.0,宜 蘭 縣,-252,-183
106.0,新 竹 縣,3376,3514
106.0,苗 栗 縣,-4255,-4129
106.0,彰 化 縣,-7297,-7177
106.0,南 投 縣,-2558,-2490
106.0,雲 林 縣,-1709,-1657
106.0,嘉 義 縣,-1400,-1356
106.0,屏 東 縣,-2064,-1993
106.0,臺 東 縣,-367,-306
106.0,花 蓮 縣,-756,-726
106.0,澎 湖 縣,619,635
106.0,基 隆 市,24,84
106.0,新 竹 市,2169,2370
106.0,嘉 義 市,-409,-378
106.0,福 建 省,2039,2060
106.0,金 門 縣,1829,1834
106.0,連 江 縣,210,226
107.0,新 北 市,4030,5516
107.0,臺 北 市,-19632,-17763
107.0,桃 園 市,23110,23919
107.0,臺 中 市,11268,12044
107.0,臺 南 市,125,469
107.0,高 雄 市,-1990,-1312
107.0,臺 灣 省,-9438,-7771
107.0,宜 蘭 縣,-538,-428
107.0,新 竹 縣,4119,4295
107.0,苗 栗 縣,-3295,-3124
107.0,彰 化 縣,-6650,-6475
107.0,南 投 縣,-2414,-2341
107.0,雲 林 縣,-1187,-1057
107.0,嘉 義 縣,-1136,-1039
107.0,屏 東 縣,-887,-657
107.0,臺 東 縣,205,299
107.0,花 蓮 縣,-164,-69
107.0,澎 湖 縣,395,413
107.0,基 隆 市,-452,-387
107.0,新 竹 市,3126,3254
107.0,嘉 義 市,-560,-455
107.0,福 建 省,1415,1442
107.0,金 門 縣,1308,1324
107.0,連 江 縣,107,118
108.0,新 北 市,19664,20258
108.0,臺 北 市,-26973,-26481
108.0,桃 園 市,18522,18898
108.0,臺 中 市,7482,7752
108.0,臺 南 市,704,917
108.0,高 雄 市,2039,2457
108.0,臺 灣 省,-9162,-8295
108.0,宜 蘭 縣,-148,-77
108.0,新 竹 縣,6250,6374
108.0,苗 栗 縣,-1416,-1318
108.0,彰 化 縣,-6854,-6759
108.0,南 投 縣,-1175,-1096
108.0,雲 林 縣,-1750,-1708
108.0,嘉 義 縣,-1353,-1284
108.0,屏 東 縣,-2593,-2560
108.0,臺 東 縣,-1211,-1184
108.0,花 蓮 縣,-871,-844
108.0,澎 湖 縣,723,736
108.0,基 隆 市,-198,-139
108.0,新 竹 市,2039,2148
108.0,嘉 義 市,-605,-584
108.0,福 建 省,442,456
108.0,金 門 縣,497,509
108.0,連 江 縣,-55,-53
109.0,新 北 市,10577,20572
109.0,臺 北 市,-44440,-31238
109.0,桃 園 市,11506,15379
109.0,臺 中 市,3419,7621
109.0,臺 南 市,-1445,854
109.0,高 雄 市,-4483,-248
109.0,臺 灣 省,-9402,-2373
109.0,宜 蘭 縣,-59,411
109.0,新 竹 縣,6331,7036
109.0,苗 栗 縣,-654,-146
109.0,彰 化 縣,-7836,-6833
109.0,南 投 縣,-1685,-1227
109.0,雲 林 縣,-1358,-893
109.0,嘉 義 縣,-1128,-798
109.0,屏 東 縣,-2571,-1756
109.0,臺 東 縣,-578,-388
109.0,花 蓮 縣,-878,-561
109.0,澎 湖 縣,706,753
109.0,基 隆 市,-308,303
109.0,新 竹 市,1629,2386
109.0,嘉 義 市,-1013,-660
109.0,福 建 省,290,569
109.0,金 門 縣,146,379
109.0,連 江 縣,144,190
110.0,新 北 市,-20005,16797
110.0,臺 北 市,-76097,-30753
110.0,桃 園 市,-2468,11576
110.0,臺 中 市,-7155,9383
110.0,臺 南 市,-6573,2136
110.0,高 雄 市,-16367,-709
110.0,臺 灣 省,-28327,248
110.0,宜 蘭 縣,-1076,840
110.0,新 竹 縣,4545,7161
110.0,苗 栗 縣,-1708,636
110.0,彰 化 縣,-11879,-7414
110.0,南 投 縣,-3667,-1754
110.0,雲 林 縣,-3235,-1178
110.0,嘉 義 縣,-3058,-1596
110.0,屏 東 縣,-3799,-856
110.0,臺 東 縣,-785,-61
110.0,花 蓮 縣,-1901,-506
110.0,澎 湖 縣,472,708
110.0,基 隆 市,-2175,260
110.0,新 竹 市,517,3224
110.0,嘉 義 市,-578,784
110.0,福 建 省,982,1948
110.0,金 門 縣,660,1546
110.0,連 江 縣,322,402
111.0,新 北 市,-3586,8952
111.0,臺 北 市,-37457,-24509
111.0,桃 園 市,6659,11559
111.0,臺 中 市,3839,9575
111.0,臺 南 市,-68,2874
111.0,高 雄 市,-7225,-1824
111.0,臺 灣 省,-4706,5776
111.0,宜 蘭 縣,621,1251
111.0,新 竹 縣,5404,6261
111.0,苗 栗 縣,645,1555
111.0,彰 化 縣,-7630,-5801
111.0,南 投 縣,-1896,-1197
111.0,雲 林 縣,-801,64
111.0,嘉 義 縣,-946,-388
111.0,屏 東 縣,172,1107
111.0,臺 東 縣,429,722
111.0,花 蓮 縣,-768,-362
111.0,澎 湖 縣,1111,1218
111.0,基 隆 市,-260,492
111.0,新 竹 市,-156,1044
111.0,嘉 義 市,-631,-190
111.0,福 建 省,114,1480
111.0,金 門 縣,-199,1068
111.0,連 江 縣,313,412
